Date,Token,Wallet,Balance,High,Low,Open,Close
2023-01-03,ETH,Wallet2,0.0,1219.0953369140625,1207.4915771484375,1214.7440185546875,1214.77880859375
2023-01-04,ETH,Wallet2,0.0,1264.8074951171875,1213.1688232421875,1214.7186279296875,1256.526611328125
2023-01-05,ETH,Wallet2,0.0,1258.571533203125,1245.173095703125,1256.484619140625,1250.4385986328125
2023-01-06,ETH,Wallet2,0.0,1273.2203369140625,1240.947509765625,1250.458984375,1269.3790283203125
2023-01-07,ETH,Wallet2,0.0,1270.5982666015625,1262.2711181640625,1269.4197998046875,1264.2703857421875
2023-01-08,ETH,Wallet2,0.0,1287.3594970703125,1260.226806640625,1264.181884765625,1287.3594970703125
2023-01-09,ETH,Wallet2,0.0,1342.1441650390625,1286.6807861328125,1287.4508056640625,1321.5389404296875
2023-01-10,ETH,Wallet2,0.0,1342.7572021484375,1318.5272216796875,1321.3955078125,1336.5860595703125
2023-01-11,ETH,Wallet2,0.0,1387.9327392578125,1323.5831298828125,1336.48681640625,1387.9327392578125
2023-01-12,ETH,Wallet2,0.0,1432.28125,1378.422119140625,1405.3514404296875,1417.9384765625
2023-01-13,ETH,Wallet2,0.0,1461.6727294921875,1404.02392578125,1417.9461669921875,1451.6148681640625
2023-01-14,ETH,Wallet2,0.0,1563.7391357421875,1450.9884033203125,1451.428466796875,1550.7069091796875
2023-01-15,ETH,Wallet2,0.0,1556.9508056640625,1520.893798828125,1550.7315673828125,1552.4794921875
2023-01-16,ETH,Wallet2,0.0,1594.039794921875,1529.5736083984375,1552.519287109375,1576.83349609375
2023-01-17,ETH,Wallet2,0.0,1594.0009765625,1553.3359375,1577.107421875,1567.8460693359375
2023-01-18,ETH,Wallet2,0.0,1602.106689453125,1509.4228515625,1567.698974609375,1515.5069580078125
